Date	Qsim	Qobs	Precipitation	Temperature	AET	PET	Snow	Snowcover	SM	Recharge	SUZ	SLZ	Q0	Q1	Q2	Qsim_rain	Qsim_snow
20151001	1.4825816908	1.116	0.0	7.9	1.96	2.27	0.0	0.00	102.5	0.0	2.6	8.9	0.000	0.3930234044	1.0895582864	1.481	0.001
20151002	1.2543261172	0.592	0.0	5.9	1.43	1.68	0.0	0.00	101.1	0.0	0.0	10.3	0.000	0.000	1.2543261172	1.253	0.001
20151003	1.1179413118	0.452	0.0	6.2	1.60	1.91	0.0	0.00	99.5	0.0	0.0	9.2	0.000	0.000	1.1179413118	1.117	0.001
20151004	0.9963858358	0.376	0.0	6.4	1.57	1.90	0.0	0.00	97.9	0.0	0.0	8.2	0.000	0.000	0.9963858358	0.996	0.001
20151005	0.8880472734	0.340	0.0	7.3	1.86	2.30	0.0	0.00	96.1	0.0	0.0	7.3	0.000	0.000	0.8880472734	0.887	0.001
20151006	0.7947364571	0.319	0.1	8.6	2.21	2.77	0.0	0.00	94.0	0.0	0.0	6.5	0.000	0.000	0.7947364571	0.794	0.001
20151007	0.7083235414	0.314	0.0	10.8	1.59	2.04	0.0	0.00	92.4	0.0	0.0	5.8	0.000	0.000	0.7083235414	0.708	0.001
20151008	0.6313064348	0.308	0.0	7.1	1.37	1.80	0.0	0.00	91.0	0.0	0.0	5.2	0.000	0.000	0.6313064348	0.631	0.001
20151009	1.1662032595	1.196	17.1	7.1	0.96	1.19	0.0	0.00	101.9	5.2	1.4	7.8	0.000	0.2166835484	0.9495197111	1.165	0.001
20151010	1.0137978624	0.728	0.3	4.9	1.75	2.07	0.0	0.00	100.4	0.1	0.0	8.3	0.000	0.000	1.0137978624	1.013	0.001
20151011	0.9035660636	0.533	0.0	9.3	1.80	2.16	0.0	0.00	98.6	0.0	0.0	7.4	0.000	0.000	0.9035660636	0.903	0.001
20151012	0.8053199377	0.467	0.0	13.4	1.91	2.34	0.0	0.00	96.7	0.0	0.0	6.6	0.000	0.000	0.8053199377	0.805	0.001
20151013	0.8889473594	0.469	5.0	13.2	1.29	1.58	0.0	0.00	98.8	1.6	0.0	7.3	0.000	0.000	0.8889473594	0.888	0.001
20151014	0.9695031724	0.666	4.9	6.0	1.45	1.74	0.0	0.00	100.6	1.6	0.0	7.9	0.000	0.000	0.9695031724	0.969	0.001
20151015	0.8640876033	0.539	0.0	6.4	1.80	2.16	0.0	0.00	98.8	0.0	0.0	7.1	0.000	0.000	0.8640876033	0.864	0.001
20151016	0.8478921445	0.553	2.2	4.2	1.74	2.11	0.0	0.00	98.6	0.7	0.0	7.0	0.000	0.000	0.8478921445	0.847	0.000
20151017	0.7556995292	0.594	7.2	-0.6	1.87	2.30	4.1	1.00	96.7	0.0	0.0	6.2	0.000	0.000	0.7556995292	0.755	0.000
20151018	0.6735311587	0.564	0.8	-3.3	0.00	1.09	4.6	1.00	96.7	0.0	0.0	5.5	0.000	0.000	0.6735311587	0.673	0.000
20151019	0.6002970812	0.516	0.8	-2.3	0.00	2.01	5.0	1.00	96.7	0.0	0.0	4.9	0.000	0.000	0.6002970812	0.600	0.000
20151020	0.7220742866	0.569	0.4	7.1	0.00	1.33	0.0	0.00	100.4	1.7	0.0	5.9	0.000	0.000	0.7220742866	0.712	0.010
20151021	0.6763491006	0.528	0.9	9.6	1.12	1.34	0.0	0.00	99.9	0.3	0.0	5.5	0.000	0.000	0.6763491006	0.666	0.010
20151022	0.6387464259	0.495	1.0	10.5	0.93	1.12	0.0	0.00	99.6	0.3	0.0	5.2	0.000	0.000	0.6387464259	0.628	0.011
20151023	0.5800016745	0.459	0.3	1.8	0.76	0.92	0.0	0.00	99.1	0.1	0.0	4.8	0.000	0.000	0.5800016745	0.570	0.010
20151024	0.5169372015	0.416	0.0	1.6	1.61	1.97	0.0	0.00	97.4	0.0	0.0	4.2	0.000	0.000	0.5169372015	0.508	0.009
20151025	0.5921656154	0.519	3.8	6.4	1.26	1.54	0.0	0.00	98.8	1.2	0.0	4.9	0.000	0.000	0.5921656154	0.578	0.014
20151026	0.5557098054	0.476	0.8	1.8	1.18	1.44	0.0	0.00	98.1	0.3	0.0	4.6	0.000	0.000	0.5557098054	0.542	0.014
20151027	0.4952866247	0.432	0.0	2.4	0.85	1.05	0.0	0.00	97.3	0.0	0.0	4.1	0.000	0.000	0.4952866247	0.483	0.012
20151028	1.2068888095	0.944	18.0	3.1	0.83	0.97	0.0	0.00	108.0	6.4	2.5	6.8	0.000	0.3785992656	0.8282895438	1.166	0.041
20151029	1.9884185979	3.926	16.9	10.5	1.61	1.72	0.0	0.00	115.7	7.6	5.7	9.2	0.000	0.8633340538	1.1250845441	1.921	0.067
20151030	1.7690870790	1.432	1.5	1.2	1.00	1.04	0.0	0.00	115.4	0.7	2.5	11.4	0.000	0.3794785109	1.3896085681	1.709	0.060
20151031	1.5119901758	1.030	0.0	1.8	1.27	1.32	0.0	0.00	114.2	0.0	0.0	12.4	0.000	0.000	1.5119901758	1.461	0.051
20151101	1.3934709430	0.931	0.9	5.2	0.80	0.84	0.0	0.00	113.9	0.4	0.0	11.4	0.000	0.000	1.393470943	1.346	0.047
20151102	1.2672603320	0.828	0.5	5.7	1.42	1.50	0.0	0.00	112.7	0.2	0.0	10.4	0.000	0.000	1.267260332	1.224	0.043
